X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.004477176348345,38.908852493601756,3273,{9CA94CB8-9811-468C-9C53-0A7FC1C2566B},3273,Other Walking Issue,2015-07-17T17:54:52.000Z,Unassigned,5265,Signage here is terrible - its confusing and none of the lights sync up so you are stuck in the media strip waiting 60 seconds for the light to change.,Pedestrian
-77.011572038855405,38.954544983578629,6790,{6042C4D5-3410-448C-B328-33696D118F2F},6790,Stop sign running,2015-09-05T14:13:13.000Z,Unassigned,13161,"1st St has no stop sign, but Ingraham has a stop. Yet Ingraham is a larger road. This should be a four-way stop or at the very least there should be a ""opposing traffic does not stop"" sign like there is half a block away at New Hampshire.",Pedestrian
-77.001347220254672,38.885302498684744,2855,{8ED217F7-9158-41DB-91FC-EDE9B8DF4B5C},2855,Double parking,2015-07-16T13:24:17.000Z,Unassigned,2582,Cars are often double parked in the bike lane,Biker
-77.009065541680897,38.900215670064199,3282,{D52A66D4-BF10-4C51-B34B-F0488371352D},3282,Poor visibility,2015-07-17T18:07:18.000Z,Unassigned,3950,Cars turn very quickly and frequently are not looking out for bicyclists/pedestrians.,Biker
-77.039615433538017,38.898875402037604,4303,{1EF63A03-E8BF-4135-BBBA-1D9D97F12CB6},4303,Jaywalking,2015-08-01T03:50:01.000Z,Unassigned,12067,World Bank employees disregard the crosswalk signs and begin to enter the intersection with only a few seconds to spare,Car Driver
-77.041678752176395,38.909036321820103,635,{A2D104CD-4710-4BAF-BB27-FD96196AC4EE},635,Failure to stop for pedestrians,2015-07-01T17:29:00.000Z,Unassigned,3004,Drivers heading south on 18th and turning left act very aggressively towards pedestrians in the crosswalk with the right of way.,Pedestrian
-77.03364593326819,38.898322058788871,6791,{1FF654C0-48AB-47A8-91C0-37FB7BD6B922},6791,Red light running,2015-09-07T15:05:26.000Z,Unassigned,3030,Cars going south on 15th St NW often run the red light way after its turned red. Either theres something wrong with the light placement or the drivers are tourists who arent used to lights on the side of the street rather than overhead. Look out!,Biker
-77.001720133399729,38.885152409602682,2856,{7CAD8DE7-DEA9-4579-9308-DBB1C00A3EA6},2856,Double parking,2015-07-16T13:24:36.000Z,Unassigned,2582,,Car Driver
-77.018031154667739,38.969936956990651,3127,{80315D2D-1AE7-488D-B037-06F86948B92A},3127,Accessibility Issue,2015-07-17T00:40:09.000Z,Unassigned,7811,"There is no curb cut for seniors, those in wheelchairs, or with strollers to cross Van Buren.",Pedestrian
-77.022760496949076,38.912032897334285,4926,{48B40A94-24C8-495E-90A0-72F4C3D3F725},4926,Failure to stop for pedestrians,2015-08-04T12:19:16.000Z,Unassigned,10411,No cars stop for pedestrians here at unsignaled crosswalk. very dangerous. This crosswalk is deadly. People will die here if not fixed.,Biker
-77.029634973414204,38.899816227205186,6792,{BCADCEFD-6486-4EDF-A4A4-59EEB4071B75},6792,Red light running,2015-09-07T15:09:38.000Z,Unassigned,7009,"This intersection is very dangerous for peds b/c southbound traffic on 13th has 2 lights right in a row, the first green, the second red. You see a grn light and say ""ok, I can go,"" and then within just a few ft is a red light where peds are crossing",Car Driver
-77.036355121174878,38.879882916179049,636,{E2510830-374C-4AB0-B59E-663C201B9660},636,Other Biking Issue,2015-07-01T17:30:45.000Z,Unassigned,530,Could use contra-flow lane to connect to the driveway just to the east of here. Cyclists often ride against traffic because the sidewalk is full of people (obviously an issue at certain times of year more than others).,Biker
-77.006230812908768,38.93133533428469,2857,{AE81ED8D-93E9-446A-88C5-1D4BBCDCE1FC},2857,Failure to stop for pedestrians,2015-07-16T13:24:33.000Z,Unassigned,12082,"Drivers turn onto and off of these ramps at high speeds, and rarely slow down or stop for pedestrians and cyclists.",Biker
-77.024139864671525,38.958473998732103,3128,{1D2DDE8F-E98D-4A84-B67D-60E308A30900},3128,Poor visibility,2015-07-17T00:42:59.000Z,Unassigned,1898,Visibility is very low at this intersection and because those traveling on Madison to not have a stop sign it is quite dangerous. This would be safer intersection with a 4-way stop.,Car Driver
-77.021920906349621,38.91232055456932,4927,{0FCB4F88-0A5B-4E2F-86EB-734E10C1F89E},4927,Speeding,2015-08-04T12:21:32.000Z,Unassigned,3692,Cars drive way too fast on Rhode island,Biker
-77.08627298369403,38.937491613105536,6793,{66FFF4FF-FB64-43A1-9201-4AF529BDB198},6793,Other Driving Issue,2015-09-08T15:42:55.000Z,Unassigned,6571,"Cars in the inner circle try to make left hand turns onto Mass ave., illegally. Creates a dangerous situation when they pull in front of oncoming traffic entering the circle. Need better signs and enforcement. Issues occurs 50% of the time.",Car Driver
